# Constructed from biom file
#OTU ID	st1_1	st1_2	st1_3	st1_4	st1_5	st1_6	st1_7	st2_1	st2_2	st2_3	st2_4	st2_5	st2_6	st2_7	st4_1	st4_2	st4_3	st4_4	st4_5	st4_6	st4_7	st5_1	st5_2	st5_3	st5_4	st5_5	st5_6	st5_7
d__Bacteria;p__Calditrichota	0.005975545803317601	0.007350732702066109	0.011353699472511353	0.005599328080630324	0.006450436109176533	0.0012610340479192938	0.002066115702479339	0.0	1.6827084875816113e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6317206494248183e-05	0.0	0.0	0.0	0.0
d__Bacteria;p__WOR-1	2.7600673456432338e-05	0.0	9.872782150009873e-05	7.999040115186178e-05	9.949258780220874e-05	1.3274042609676777e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.791672527781685e-05	0.0	0.0	0.0	7.860893626387447e-05	1.3306188708368262e-05	0.0014917802905988005	0.0013687005556924257	0.0	0.0	6.526882597699273e-05	2.6658491395971902e-05	0.0	6.685743320942423e-05	0.00020589900653729347
d__Bacteria;p__Patescibacteria	0.0046507134774088485	0.006196746707978312	0.006360892499506361	0.005172712607820395	0.005538420720989619	0.007911329395367359	0.003013633731641838	0.0017946877243359654	0.0005216396311502995	0.0004815318377520961	0.0009491683824710504	2.8450716246781513e-05	8.14520179737453e-05	0.0002813335208890139	0.0	1.3870202643660623e-05	0.0007720260359125214	6.288714901109958e-05	0.00011975569837531436	0.0018647253632485007	0.0018066847335140017	0.0008967198930228899	0.00036173148805616217	0.00029370971689646734	7.99754741879157e-05	6.280322180527861e-05	0.0003610301393308908	0.00034745457353168273
d__Bacteria;p__Armatimonadota	0.0024840606110789103	0.0035726141734772916	0.007743082000507743	0.014344945273233878	0.011159751931814413	0.00889360854848344	0.007435384534400169	0.0022541277817659726	0.0007572188194117251	0.001147178789938817	0.0008031424774755042	0.0002987325205912059	0.0005565887894872595	0.0004571669714446476	0.00047886801779535343	0.0004299762819534793	0.0007853368296351511	0.0003773228940665975	0.0003193485290008383	0.0010740818092311365	0.0016150666557170623	0.0021867379847400298	0.0007502579011535215	0.001142204454597373	0.0003998773709395785	0.00017270885996451617	0.00046800203246596955	0.0004375353888917486
d__Bacteria;p__Proteobacteria	0.317545748116254	0.051597401160309204	0.01964683647851965	0.045834499860016795	0.020628129870991278	0.004314063848144953	0.0027372743064694427	0.43834888729361093	0.6139361916941509	0.0774558123725357	0.04228910208671018	0.006429861871772622	0.007860119734466422	0.0030419186946124633	0.0912011863568957	0.35645033773943435	0.7306693998163111	0.010187718139798132	0.0019160911740050298	0.007608079482053883	0.0026415920724863814	0.27447494690474317	0.03413673450248523	0.04521497919556172	0.011889687162603468	0.010927760594118478	0.01379937421442516	0.002612343645441911
d__Archaea;p__Crenarchaeota	0.0344870414838122	0.04166996000569089	0.08675354714958676	0.22689277286725593	0.2209232912148045	0.3400146014468706	0.46711322840448494	0.05003589375448672	0.04955576495927846	0.5781214593247224	0.7019903330850893	0.8601505042889455	0.83852137436705	0.8544450696300464	0.5661455758774098	0.2704550813487385	0.02285463282175516	0.7850831682545671	0.8736178196479183	0.7945818539845452	0.7882893980454956	0.10187996538975852	0.4232526359507509	0.5026841804683039	0.6805246391106727	0.8262077844593427	0.7916588666327923	0.7881942657126679
d__Bacteria;p__Desulfobacterota	0.026924456956749745	0.026747182219130874	0.0419029082395419	0.030516338039435268	0.028305641229728385	0.01561027410897989	0.012212454598094436	0.01343862167982771	0.003516860739045568	0.021329027872195785	0.021611833939340838	0.025036630297167732	0.007900845743453294	0.004220002813335209	0.04020946613939694	0.0208885251813529	0.0022362133454017865	0.020155331258057414	0.01355900629382726	0.004922874958976042	0.004722016917138868	0.03066152757020373	0.10909553730523439	0.06722689075630252	0.032216786852032046	0.016925468276522585	0.017570133447436687	0.009574303803984146
d__Bacteria;p__Chloroflexi	0.1336562612127736	0.20153654025514156	0.3040957941948041	0.26708794944606645	0.3137664577322323	0.33828897590761264	0.28974311733431596	0.006231155778894473	0.014303022144443697	0.004064695218672105	0.004745841912355252	0.005092678208173891	0.012217802696061795	0.03470952313968209	0.019834404349975285	0.0074899094275767365	0.0017836463588323773	0.009967613118259284	0.009886498210317618	0.059656293821046036	0.07099449782376611	0.024903641941319908	0.009445211077022012	0.01993962633597128	0.027778148034602722	0.00857263977642053	0.011405878105527772	0.021220466361249808
d__Bacteria;p__Latescibacterota	0.0147663602991913	0.021372452931598666	0.027855349637527855	0.01390499806689864	0.010894438364341856	0.0016592553262095972	0.0016186766331526031	1.4357501794687724e-05	0.0	8.49762066621346e-05	0.0	2.8450716246781513e-05	8.14520179737453e-05	8.791672527781685e-05	0.0	0.0	0.0	0.0	0.0	0.0008950681743592803	0.0003148011278092579	0.0	0.0	0.0	2.6658491395971902e-05	0.0	2.674297328376969e-05	7.721212745148504e-05
d__Bacteria;p__Planctomycetota	0.009729237393392398	0.010543954219952892	0.017277368762517276	0.022797264328280605	0.028720193678904254	0.02459680095573107	0.018437121650786967	0.044206748025843505	0.028807969307397187	0.019785293451167005	0.011711277580642806	0.007112679061695378	0.00942128341229654	0.00986425657617105	0.03253213049925853	0.04371887873281829	0.018169233431389514	0.012577429802219917	0.00636035820260003	0.01339618700957723	0.01675289480167529	0.07840792889168567	0.044600152731072734	0.017655217426776535	0.01648827692840862	0.010488138041481528	0.014588291926296366	0.00916250579090956
d__Archaea;p__Nanoarchaeota	0.008252601363473269	0.008473102641521365	0.008631632394008631	0.007425775573597835	0.00827446688555036	0.006968872370080308	0.003882191925040796	0.0008614501076812635	6.730833950326445e-05	0.00039655563108996147	0.0002920518099910924	4.267607437017227e-05	0.00014932869961853306	8.791672527781685e-05	0.0016219723183391003	0.00022192324229856997	9.317555605840776e-05	0.00014149608527497405	0.0001729804532087874	0.0021034102097443087	0.0015740056390462895	0.00018878313537324	0.0001741670127677818	0.0005874194337929347	0.00021326793116777521	0.00021981127631847514	0.00045463054582408474	0.00029597982189735934
d__Bacteria;p__Verrucomicrobiota	0.0037260909166183655	0.004236551320760683	0.006374996474006375	0.00585263101761122	0.007428779889231586	0.006185703856109378	0.003829552034531768	0.017961234745154344	0.01191357609207781	0.03505268524813052	0.01674917130298915	0.006372960439279059	0.008185927806361402	0.0062420874947249965	0.020684008897676718	0.017448714925725063	0.01002302767314015	0.01770273244662453	0.005455537370430988	0.010367873019661664	0.011428649640031754	0.03338315110516794	0.007958092737235568	0.02992575671045117	0.01296935606414033	0.009294876827181234	0.008089749418340331	0.017385597364492716
d__Bacteria;p__Dependentiae	0.000579614142585079	0.00044262476485559365	0.0007334066740007334	0.0009065578797211001	0.0008291048983517395	0.00119466383487091	0.0006448386587355898	0.0028284278535534815	0.0009591438379215185	0.0016287106276909131	0.0009491683824710504	9.95775068637353e-05	5.43013453158302e-05	0.0	0.00040163124073158674	0.000998654590343565	0.0006921612735767433	0.00018866144703329874	5.322475483347305e-05	0.0	4.1061016670772766e-05	0.0008337921812318099	0.0006296807384681342	0.00040793016235620463	0.00011996321128187356	0.0	4.011445992565454e-05	3.860606372574252e-05
d__Bacteria;p__uncultured	0.0	4.7424081948813605e-05	7.051987250007052e-05	2.6663467050620593e-05	4.974629390110437e-05	5.309617043870711e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.033338022225348e-05	0.0	0.0	0.0	0.0	0.0	7.458901452994004e-05	8.212203334154553e-05	0.0	0.0	0.0	0.0	6.280322180527861e-05	0.0	1.2868687908580842e-05
d__Bacteria;p__Acidobacteriota	0.023584775468521432	0.03642169493668885	0.0832980733970833	0.07644416003412924	0.07539879945610718	0.0638481449525453	0.04741538137600674	0.23622397702799713	0.12926566601601938	0.15773000226603218	0.11533125976548239	0.04453959628433646	0.04960427894601089	0.031491770994513994	0.13070007414730597	0.1780240509313841	0.1501058208100949	0.06829544382605414	0.031229624898540313	0.022689978220007758	0.018436396485176972	0.2920317784944545	0.1656328291421605	0.17731908297299503	0.11701744798261866	0.052770407121885354	0.05434172171262001	0.047343902815668915
d__Bacteria;p__Actinobacteriota	0.03851673980845133	0.036880127728860713	0.024230628191024232	0.005932621418763081	0.014857559778463172	0.006690117475277095	0.0013686371532347214	0.11418521177315147	0.09810190482600795	0.011386811692726036	0.008600925804237672	0.0004552114599485042	0.0016697663684617787	0.00010550007033338022	0.004974048442906574	0.028170381569274726	0.03303739001956687	0.002971417790774455	0.001064495096669461	0.0014917802905988005	0.0019983028113109416	0.029198458271061118	0.01023566136573733	0.00926817328873297	0.002265971768657612	0.001444474101521408	0.00386435963950472	0.0004375353888917486
d__Bacteria;p__Nitrospirota	0.0021942535397863707	0.004489479757821021	0.02145214521452145	0.019570984815155516	0.01724538188571618	0.015026216234154111	0.010791177554350688	0.002340272792534099	0.0017331897422090596	0.009489009743938364	0.010192608168689126	0.001977324779151315	0.0004072600898687265	0.0	0.0031512605042016808	0.005090364370223449	0.0005058101614599279	0.002405433449674559	0.0011443322289196706	0.0002088492406838321	0.00013687005556924255	0.0008180602532840399	0.0026526975790785224	0.0033613445378151263	0.00210602082028178	0.0005181265798935486	0.000427887572540315	0.00012868687908580841
