sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-5556_iter-1,depth-5556_iter-2,depth-5556_iter-3,depth-5556_iter-4,depth-5556_iter-5,depth-5556_iter-6,depth-5556_iter-7,depth-5556_iter-8,depth-5556_iter-9,depth-5556_iter-10,depth-11111_iter-1,depth-11111_iter-2,depth-11111_iter-3,depth-11111_iter-4,depth-11111_iter-5,depth-11111_iter-6,depth-11111_iter-7,depth-11111_iter-8,depth-11111_iter-9,depth-11111_iter-10,depth-16667_iter-1,depth-16667_iter-2,depth-16667_iter-3,depth-16667_iter-4,depth-16667_iter-5,depth-16667_iter-6,depth-16667_iter-7,depth-16667_iter-8,depth-16667_iter-9,depth-16667_iter-10,depth-22222_iter-1,depth-22222_iter-2,depth-22222_iter-3,depth-22222_iter-4,depth-22222_iter-5,depth-22222_iter-6,depth-22222_iter-7,depth-22222_iter-8,depth-22222_iter-9,depth-22222_iter-10,depth-27778_iter-1,depth-27778_iter-2,depth-27778_iter-3,depth-27778_iter-4,depth-27778_iter-5,depth-27778_iter-6,depth-27778_iter-7,depth-27778_iter-8,depth-27778_iter-9,depth-27778_iter-10,depth-33333_iter-1,depth-33333_iter-2,depth-33333_iter-3,depth-33333_iter-4,depth-33333_iter-5,depth-33333_iter-6,depth-33333_iter-7,depth-33333_iter-8,depth-33333_iter-9,depth-33333_iter-10,depth-38889_iter-1,depth-38889_iter-2,depth-38889_iter-3,depth-38889_iter-4,depth-38889_iter-5,depth-38889_iter-6,depth-38889_iter-7,depth-38889_iter-8,depth-38889_iter-9,depth-38889_iter-10,depth-44444_iter-1,depth-44444_iter-2,depth-44444_iter-3,depth-44444_iter-4,depth-44444_iter-5,depth-44444_iter-6,depth-44444_iter-7,depth-44444_iter-8,depth-44444_iter-9,depth-44444_iter-10,depth-50000_iter-1,depth-50000_iter-2,depth-50000_iter-3,depth-50000_iter-4,depth-50000_iter-5,depth-50000_iter-6,depth-50000_iter-7,depth-50000_iter-8,depth-50000_iter-9,depth-50000_iter-10,Site_layer,Site_old,Site,Phasic_community,Type,Depth_group_cm,Depth_layer
st1_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2267.9180327868853,2231.695652173913,2305.0904522613064,2213.578947368421,2071.064516129032,2197.522988505747,2320.4827586206898,1983.5,2202.954545454545,2460.017964071856,2822.424561403509,2959.1338582677163,2847.810526315789,3059.49609375,2808.8508474576274,2882.6642335766423,2973.759541984733,2587.0887372013653,2659.2508361204013,2908.3773584905657,3288.1108033241,3197.1783783783785,3059.7667560321715,3180.0625,3298.4408284023666,3464.65329512894,3150.228813559322,3233.785714285714,3178.619178082192,3236.041322314049,3503.2530120481924,3500.845971563981,3467.372881355932,3331.9406392694063,3447.321513002364,3330.5841121495328,3449.289855072464,3652.682170542636,3509.2530120481924,3380.4851485148515,3563.512244897959,3506.3454545454542,3588.51024590164,3551.208333333333,3504.0019920318728,3575.058116232465,3552.5618221258137,3536.153846153846,3580.4147843942505,3519.546972860125,3797.307228915663,3504.3604240282684,3667.363970588235,3644.259668508287,3684.7674858223054,3684.201535508637,3667.367088607595,3596.0728241563056,3674.460674157304,3577.7684021543987,3749.855973813421,3614.520458265139,3697.031523642732,3700.347676419965,3694.79700499168,3672.619834710744,3679.7246127366607,3753.745901639344,3788.6260869565217,3680.010050251256,3674.887323943662,3643.404255319149,3594.772585669782,3719.877897990727,3713.5407166123778,3738.459587955626,3692.470681458003,3689.119205298013,3768.0990566037735,3634.0873015873017,3700.925501432665,3784.877971473851,3747.15625,3678.477611940298,3749.010736196319,3648.7662337662337,3710.3476394849786,3719.9166666666665,3652.375,3739.483870967742,st1_1,st1,SSPS1,Mangrove,Brackish,0_to_30,Acrotelm
st1_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1869.805,2135.4153846153845,2215.458563535912,2229.348958333333,2253.5135135135133,1948.5384615384612,2149.84236453202,2104.597014925373,2304.685185185185,2209.5815217391305,2707.0638297872338,2590.8523489932886,2688.560483870968,2734.0528169014087,2910.012145748988,2668.054945054945,2531.0094043887148,2619.1911262798635,2718.7605633802814,2521.3762711864406,2938.222841225627,3223.826086956522,2789.5494791666665,2894.1994535519125,2855.008,2900.598901098901,3020.72268907563,2871.430517711172,2862.991379310345,2959.5026737967914,3228.7397959183672,3016.0882352941176,3247.055263157895,3146.786432160804,3091.779376498801,3112.9543147208124,3264.75,3086.281690140845,3043.1525,3115.767088607595,3225.436285097192,3223.390410958904,3177.3,3292.39408866995,3291.2764976958524,3239.466960352423,3298.061810154525,3196.0285714285715,3220.322222222222,3172.775681341719,3170.777777777778,3262.758762886598,3421.1974522292994,3275.1154598825838,3276.3761814744803,3255.09671179884,3178.0018450184502,3102.601851851852,3281.4478764478763,3209.1109022556398,3228.7967032967035,3241.5054945054944,3299.760869565217,3329.25,3196.9052631578948,3269.23774954628,3223.970260223048,3372.945794392524,3261.402298850575,3285.509632224168,3196.789389067524,3287.725,3371.1493848857644,3273.9180887372013,3274.478187919463,3280.32590051458,3285.779863481229,3298.7504078303427,3266.201342281879,3326.930795847751,3289.735668789809,3291.926267281106,3304.287284144427,3314.888707037643,3291.809917355372,3240.6227272727274,3259.828711256117,3235.9779527559053,3239.3870967741937,3268.6826446280998,st1_2,st1,SSPS1,Mangrove,Brackish,0_to_30,Acrotelm
st1_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2700.189075630252,2622.958158995816,2794.816964285714,2595.4599156118143,2939.123222748816,2842.5342465753424,2581.265060240964,2533.707207207207,2575.584033613445,2666.254464285714,3177.3813559322034,3418.679525222552,3320.622754491018,3227.816513761468,3217.037735849057,3470.8322784810125,3348.897590361445,3237.372093023256,3491.5848484848484,3403.4707692307693,3868.1687344913153,3966.970873786408,3596.7310344827583,4003.29,3737.637037037037,3689.196388261851,3763.697516930023,3977.6715328467153,3772.0622222222223,3756.051724137931,4005.498938428874,3853.378217821782,4308.046666666667,3816.392578125,4075.322105263158,4162.362704918032,4066.452282157677,4114.296774193548,3974.779761904762,4062.6375,4075.027027027027,4056.525510204082,4162.490230905862,4211.830882352941,4056.7048611111113,4205.385435168739,4119.135888501742,4135.679856115108,4105.001769911504,4051.0107334525937,4174.198156682028,4134.49617151608,4124.612213740458,4315.956738768718,4153.206896551725,4150.794025157233,4110.613418530352,4248.870866141732,4185.872641509434,4082.014903129657,4287.405882352941,4293.5625,4212.224687933426,4150.702956989248,4283.506686478455,4207.897435897436,4295.392215568862,4265.738505747127,4301.505295007564,4170.263888888889,4246.384217335059,4273.5446071904125,4372.421428571429,4323.029247910864,4301.474412171508,4270.389252948886,4227.208053691275,4277.601398601399,4314.312154696133,4313.259259259259,4230.653696498054,4244.914285714286,4341.87250996016,4253.073474470735,4283.784217016029,4282.854777070063,4238.425902864259,4310.102199223804,4271.101910828025,4263.487593052109,st1_3,st1,SSPS1,Mangrove,Brackish,30_to_100,Catotelm
st1_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2625.898678414097,2770.052401746725,2739.9220779220777,2586.439130434783,2829.304147465438,2899.171052631579,2788.821917808219,2875.5462962962965,2757.29203539823,2523.9651162790697,3526.2569659442725,3489.50146627566,3506.6952662721897,3361.029411764706,3473.530120481928,3613.30303030303,3455.121301775148,3634.878048780488,3694.4495114006513,3361.439655172414,3837.166666666667,3925.711165048544,3942.814536340852,3937.475446428572,4052.451219512195,4023.9060240963854,3996.178082191781,3903.553571428572,4070.64406779661,3959.892523364486,4294.628865979382,4346.4,4315.756097560976,4469.829614604462,4619.848812095032,4226.002012072435,4092.623300970874,4240.387673956262,4138.437743190661,4278.891170431211,4356.555555555556,4507.156079854809,4418.096256684492,4494.795332136446,4640.53102189781,4313.186963979417,4432.56660412758,4306.4715025906735,4519.373605947955,4471.130357142857,4502.023885350319,4561.420792079208,4625.122257053292,4581.68841761827,4611.60453808752,4697.142857142857,4425.313725490196,4553.015923566879,4509.672333848532,4560.01582278481,4685.601147776184,4735.855263157895,4642.557939914163,4535.479166666667,4504.302631578948,4642.583569405099,4584.036363636364,4557.615598885794,4651.014184397163,4686.501470588235,4711.171581769437,4548.806532663317,4656.284818067754,4620.104,4619.086683417086,4696.6255088195385,4553.965865992414,4644.531746031746,4660.128859060403,4618.6875,4674.934146341463,4641.903225806452,4611.753277711561,4596.564225690276,4655.694244604317,4656.21472392638,4649.430656934306,4670.922509225093,4648.254901960784,4588.415384615385,st1_4,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st1_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2333.625,2377.863636363636,2375.2916666666665,2452.376963350785,2350.1954545454546,2343.861904761905,2307.3627906976744,2455.75956284153,2486.582568807339,2509.2906403940888,3111.0814332247555,3150.636655948553,3081.7808641975307,3159.451827242525,2885.2388535031846,3007.6102236421725,3009.633333333333,3056.210526315789,2970.051282051282,2849.348909657321,3260.367567567568,3424.938502673797,3242.7611940298507,3182.9640287769785,3233.044917257683,3230.871794871795,3355.583535108959,3140.314861460957,3315.7990074441686,3356.595419847328,3379.572614107884,3408.281573498965,3450.487341772152,3508.4,3653.6433260393874,3393.5667351129364,3423.0,3457.0745614035086,3466.880694143167,3457.0373280943027,3509.220973782772,3588.371376811594,3454.7037037037035,3608.795158286778,3576.69685767098,3460.840950639854,3440.633027522936,3438.5503731343283,3511.3743016759777,3552.609037328094,3565.030150753769,3580.975,3497.2734761120264,3513.90625,3582.7916666666665,3593.0238500851788,3537.004983388704,3572.4873949579837,3500.448675496689,3545.0854430379745,3531.004615384615,3616.3990384615386,3641.596625766871,3664.4713375796177,3495.284857571214,3536.757296466974,3548.2897473997027,3549.814814814815,3565.5,3579.9077669902917,3550.14265129683,3563.566371681416,3525.631728045326,3616.516417910448,3565.3161764705883,3531.708450704225,3532.3047895500727,3584.232294617564,3572.1140350877195,3528.7171145686,3568.693732193732,3562.5,3563.0013755158184,3517.2120805369127,3511.6785225718195,3573.1605113636365,3500.20694259012,3532.626740947075,3532.34610123119,3533.0206611570247,st1_5,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st1_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1464.8214285714284,1575.6,1480.8775510204082,1330.8741721854303,1566.6478873239437,1453.6546762589928,1606.6744186046512,1560.1985294117649,1673.181818181818,1647.4812030075188,1975.532608695652,1921.7105263157896,1834.4562211981563,1958.2413793103449,1965.815789473684,2122.7808988764045,1945.848484848485,2074.201030927835,1951.8445595854923,2074.0054054054053,2458.3467336683416,2241.8888888888887,2289.7636363636366,2221.304347826087,2397.1,2279.617283950617,2242.540650406504,2280.475982532751,2356.306603773585,2265.3529411764707,2303.2052238805973,2383.1596958174905,2513.921348314607,2374.168539325842,2170.051724137931,2544.5496183206105,2386.603703703704,2335.9598540145985,2357.7634408602157,2469.030888030888,2605.578947368421,2670.9611307420496,2527.784982935153,2497.053571428572,2478.810526315789,2436.588850174216,2420.529605263158,2497.3737373737376,2489.009316770186,2476.571917808219,2553.0182926829266,2538.340057636888,2404.8636363636365,2452.6127167630057,2536.0454545454545,2514.0317919075146,2579.0291545189502,2529.0636363636363,2426.7105263157896,2519.0,2445.532258064516,2656.0698324022346,2679.044378698225,2645.098901098901,2691.0028901734104,2619.6647887323943,2660.263768115942,2643.0243902439024,2752.792569659443,2660.0442477876104,2615.308510638298,2611.0258397932816,2742.65625,2664.7331536388137,2538.1295843520784,2585.979797979798,2560.425316455696,2631.6446700507613,2662.623342175066,2541.604060913706,2665.598971722365,2573.7958236658933,2664.280701754386,2675.560975609756,2600.454094292804,2628.613138686132,2677.056511056511,2603.006787330317,2618.84289276808,2659.2246913580248,st1_6,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st1_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1458.4206896551725,1483.9448818897638,1544.2720588235293,1476.1907894736842,1466.085106382979,1392.5379746835442,1341.3959731543623,1478.151079136691,1394.359477124183,1488.423076923077,1802.0882352941176,1851.3743842364531,1712.725,1819.049504950495,1778.694835680751,1894.242268041237,1924.401098901099,1864.016129032258,1824.0403587443948,1870.7722772277227,2095.511013215859,2039.7244094488187,1896.3760330578511,1909.0597609561755,2262.639423076923,2007.365758754864,1927.2943396226412,1882.0,1997.9205020920504,2047.9885057471265,2073.185185185185,2260.217557251908,2126.3762711864406,2158.7011070110702,2159.4137931034484,2089.424561403509,2029.8187919463087,2009.3430420711973,2176.1,2145.053571428572,2153.664556962025,2158.134185303514,2133.332326283988,2158.2651757188496,2179.8896551724138,2133.633663366337,2147.3512658227846,2182.942122186495,2199.717105263158,2194.493421052632,2187.252976190476,2218.0176470588235,2193.774774774775,2159.814024390244,2213.505917159763,2259.6203389830507,2202.6260869565217,2133.691011235955,2216.75,2115.025787965616,2140.6566757493188,2229.902366863905,2193.4985673352435,2211.1865889212827,2207.3875739644973,2219.027777777778,2213.316062176166,2146.1382113821137,2244.4930362116997,2237.479495268138,2188.338983050848,2220.4881266490765,2256.0172413793102,2248.4550898203597,2230.625,2224.785123966942,2234.914772727273,2154.798429319372,2183.0387596899227,2179.2493368700266,2192.2363636363634,2265.2445652173915,2219.587786259542,2262.755905511811,2208.041237113402,2204.6675461741424,2254.292682926829,2223.955145118733,2183.007633587786,2211.285340314136,st1_7,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st2_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1909.97005988024,1660.142857142857,1680.25,1678.5049504950491,1667.857142857143,1819.6538461538464,1780.8125,1768.9615384615386,1611.1481481481485,1732.5300546448088,2196.42,2325.96875,2104.984732824428,2213.836206896552,2119.906976744186,2229.925925925926,2211.7551020408164,2119.918699186992,2135.4745098039216,2103.6946564885498,2329.440972222222,2397.00350877193,2289.1216216216217,2233.5552147239264,2353.0925266903914,2225.062091503268,2206.5407166123778,2429.609022556391,2186.109215017065,2193.8888888888887,2403.8396226415093,2477.531055900621,2361.8872832369943,2523.248407643312,2418.618461538462,2391.5,2416.4707692307693,2475.246835443038,2369.806629834254,2383.747720364742,2420.32676056338,2431.689655172414,2462.8405405405406,2387.961852861036,2357.624649859944,2470.190082644628,2409.8314917127072,2462.454545454545,2374.140306122449,2442.3196721311474,2480.081364829396,2524.645251396648,2508.0666666666666,2470.51968503937,2397.034739454094,2488.621212121212,2484.4807197943446,2515.4591029023745,2491.5765027322404,2511.44,2547.1125319693097,2529.779220779221,2485.11170212766,2480.3317073170733,2526.1047381546136,2506.9777777777776,2515.779220779221,2505.970588235294,2490.7908847184985,2495.3324808184143,2487.617433414044,2477.812967581048,2485.1795511221944,2500.804651162791,2587.788203753352,2445.185273159145,2491.8689655172416,2489.7850241545893,2534.3030303030305,2481.266832917706,2490.507211538461,2522.515,2527.657894736842,2542.560975609756,2515.751879699248,2473.028368794326,2479.3831775700933,2484.0856481481483,2538.025510204081,2470.223255813953,st2_1,st2,SSPS2,Mixed_forest,Freshwater,0_to_30,Acrotelm
st2_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1405.9221556886228,1544.0,1503.3773584905662,1488.0306748466255,1531.030534351145,1316.5,1282.901098901099,1407.9645390070923,1429.0,1449.4539877300613,1658.470588235294,1681.5530973451328,1585.0675105485232,1639.1176470588234,1623.0044052863436,1668.5882352941176,1671.4449152542372,1738.1690140845071,1698.0,1653.8597285067874,1684.1264822134387,1804.2613636363635,1797.4597701149426,1892.9829787234044,1746.5113636363635,1813.74,1765.2785714285717,1762.2183908045977,1769.0114942528735,1848.0,1860.0915032679736,1810.1326164874552,1868.271375464684,1878.1774744027305,1804.0449438202247,1848.3851590106008,1981.4251012145749,1866.6380597014925,1980.4166666666667,1857.180811808118,1887.7820512820515,1957.9016949152544,1932.6262975778543,1814.7899686520375,1839.445205479452,1842.405750798722,1884.6075085324237,1971.335740072202,1946.530909090909,1850.7027972027968,1992.26116838488,1878.765578635015,1877.5828025477708,1871.4315789473685,1909.020618556701,1899.2,1958.8529411764707,1941.2384105960264,1918.59595959596,1940.964664310954,1900.396103896104,1880.586956521739,1884.2082018927445,1913.373417721519,1882.5091463414635,1909.323076923077,1969.03125,1887.25,1910.2866242038217,1956.4415584415583,1895.7129032258065,1939.4488448844884,1913.047619047619,1934.003095975232,1887.8262195121952,1936.6270627062704,1949.003289473684,1890.089552238806,1899.793103448276,1908.5098684210527,1892.2105263157896,1930.6930693069307,1920.0097402597405,1881.0174927113703,1904.23642172524,1922.6262295081967,1895.9079754601228,1909.8544891640868,1895.7229299363055,1906.090634441088,st2_2,st2,SSPS2,Mixed_forest,Freshwater,0_to_30,Acrotelm
st2_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1389.6875,1339.235294117647,1464.1866666666665,1421.085106382979,1371.7633587786258,1366.1066666666666,1443.5757575757575,1327.4701492537313,1399.71875,1301.3194444444443,1614.096590909091,1674.3664596273293,1687.3055555555557,1543.0995260663508,1661.0819672131147,1593.5714285714284,1737.551515151515,1583.8055555555557,1494.109947643979,1462.0143540669856,1720.4077253218884,1700.2212389380531,1757.1284403669724,1846.5121951219512,1699.3594470046082,1674.7909836065571,1714.142259414226,1775.2142857142858,1795.766355140187,1744.625,1812.6725663716811,1759.8305084745762,1871.0493827160492,1899.8878504672896,1801.97265625,1911.5023696682465,1893.1565217391303,1902.9585062240665,1875.15859030837,1792.280487804878,1876.2605633802816,1870.368421052632,1886.5967741935483,1892.345098039216,1876.760456273764,1853.55421686747,1903.265060240964,1862.2714285714285,1805.086642599278,1824.4453441295543,1869.5751879699249,1860.9239543726237,1867.703703703704,1871.5751879699249,1939.951127819549,1862.7519083969464,1849.6940789473683,1874.191011235955,1893.178571428572,1869.191011235955,1936.1417910447765,1936.5751879699249,1933.451127819549,1887.61872909699,1919.8556701030927,1951.303571428572,1918.3333333333333,1940.5285171102664,1921.2992700729928,1876.8785714285716,1946.7351916376304,1922.4797297297296,1898.9375,1913.3440860215053,1932.0736842105264,1924.0217391304348,1903.079207920792,1904.4214285714288,1898.896551724138,1963.7032967032967,1935.1195652173917,1930.5531914893616,1922.38566552901,1913.5263157894735,1906.5945945945944,1943.231270358306,1940.5659722222224,1930.4871794871797,1934.1649484536083,1958.6992753623188,st2_3,st2,SSPS2,Mixed_forest,Freshwater,0_to_30,Acrotelm
